"id";"famille";"genre";"espece";"nom_vernaculaire";"WORMS_AphiID";"Fishbase_URL";"photos";"photo_credit";"description";"Ref_description";"Presence_records";"Ref_presence_record";"presence_mayotte";"presence_geyser_zelee";"presence_zelee_nov15";"Taille_maturite";"Type_taille_maturite";"Ref_taille_maturite";"Taille_max";"Type_taille_max";"Ref_taille_max";"Type_mesure_taille_max";"Ref_taille";"coeff_a";"coeff_b";"Niveau_taxo_coeff";"Type_mesure_coeffab";"Ref_coeff";"Interet_commercial_Mayotte";"Ref_commercial_Mayotte";"Vulnerabilite_peche";"Ref_vulnerabilite_peche";"last_update";"Remarque"
"33";"Amblygobius_albimaculatus";"GOBIIDAE";"Amblygobius";"albimaculatus";"";NA;NA;"798";NA;"";NA;NA;NA;0;0;0;"11.8";NA;NA;"18";NA;NA;"SL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"34";"Amblygobius_semicinctus";"GOBIIDAE";"Amblygobius";"semicinctus";"gobie a demi bandes ";NA;NA;"799";NA;"";NA;NA;NA;0;0;0;"7.6";NA;NA;"11";NA;NA;"SL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"35";"Amblygobius_sphynx";"GOBIIDAE";"Amblygobius";"sphynx";"";NA;NA;"800";NA;"";NA;NA;NA;0;0;0;"11.8";NA;NA;"18";NA;NA;"TL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"36";"Amphiprion_akallopisos";"POMACENTRIDAE";"Amphiprion";"akallopisos";"Poisson-clown mouffette";NA;NA;"229";NA;"";NA;NA;NA;1;1;0;"7.6";NA;NA;"11";NA;NA;"TL";NA;"0.0189";"3.19";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"37";"Amphiprion_allardi";"POMACENTRIDAE";"Amphiprion";"allardi";"Poisson-clown d'Allard";NA;NA;"230";NA;"";NA;NA;NA;1;1;0;"10";NA;NA;"15";NA;NA;"TL";NA;"0.0189";"3.19";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"38";"Amphiprion_clarkii";"POMACENTRIDAE";"Amphiprion";"clarkii";"Poisson-clown de Clark";NA;NA;"231";NA;"";NA;NA;NA;1;0;0;"10";NA;NA;"15";NA;NA;"SL";NA;"0.0189";"3.19";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"39";"Amphiprion_latifasciatus";"POMACENTRIDAE";"Amphiprion";"latifasciatus";"Poisson-clown de Madagascar";NA;NA;"232";NA;"";NA;NA;NA;1;1;0;"8.8";NA;NA;"13";NA;NA;"TL";NA;"0.0189";"3.19";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"40";"Anampses_caeruleopunctatus";"LABRIDAE";"Anampses";"caeruleopunctatus";"Labre à points bleus";NA;NA;"365";NA;"";NA;NA;NA;1;1;0;"24";NA;NA;"42";NA;NA;"TL";NA;"0.0226";"2.793";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"41";"Anampses_lineatus";"LABRIDAE";"Anampses";"lineatus";"Labre à tirets";NA;NA;"487";NA;"";NA;NA;NA;1;1;1;"8.8";NA;NA;"13";NA;NA;"TL";NA;"0.0226";"2.793";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"42";"Anampses_meleagrides";"LABRIDAE";"Anampses";"meleagrides";"Labre à queue jaune";NA;NA;"191";NA;"corp noir avec point bleu ";NA;NA;NA;1;1;0;"14.1";NA;NA;"22";NA;NA;"TL";NA;"0.0226";"2.793";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"43";"Anampses_twistii";"LABRIDAE";"Anampses";"twistii";"Labre à poitrine jaune";NA;NA;"233";NA;"";NA;NA;NA;1;1;0;"11.8";NA;NA;"18";NA;NA;"TL";NA;"0.0226";"2.793";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
