"ID";"RUV_treatment_code";"Field_code";"Analyzed_video_name";"Table_ref";"Species";"First_fish";"Last_fish";"Total_number";"Remark"
"138";138;866;"ES35";"ES35_Left_sd5.R.7.MP4";"RUV_data";"Chromis_fieldi";35739;35739;15;""
"139";139;867;"ES35";"ES35_Left_sd5.R.8.MP4";"RUV_data";"Pseudanthias_squamipinnis";31315;31329;100;""
"140";140;867;"ES35";"ES35_Left_sd5.R.8.MP4";"RUV_data";"Pseudanthias";35741;35741;10;""
"141";141;867;"ES35";"ES35_Left_sd5.R.8.MP4";"RUV_data";"Chromis_fieldi";31330;31360;20;""
"142";142;868;"ES35";"ES35_Left_sd5.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";31383;31391;60;""
"143";143;868;"ES35";"ES35_Left_sd5.R.9.MP4";"RUV_data";"Pseudanthias";36038;36038;10;""
"144";144;868;"ES35";"ES35_Left_sd5.R.9.MP4";"RUV_data";"Chromis_fieldi";31367;31375;20;""
"145";145;870;"ES36";"ES36_Left_sd1.R.10.MP4";"RUV_data";"Chromis_pembae";35668;35668;10;""
"146";146;889;"ES39";"ES39_Left_sd22.R.1.MP4";"RUV_data";"Chromis_fieldi";31739;31751;20;""
"147";147;890;"ES39";"ES39_Left_sd22.R.10.MP4";"RUV_data";"Chromis_fieldi";35673;35673;20;""
"148";148;891;"ES39";"ES39_Left_sd22.R.2.MP4";"RUV_data";"Chromis_fieldi";36039;36039;20;""
"149";149;892;"ES39";"ES39_Left_sd22.R.3.MP4";"RUV_data";"Chromis_fieldi";31781;31795;20;""
"150";150;893;"ES39";"ES39_Left_sd22.R.4.MP4";"RUV_data";"Chromis_fieldi";31820;31830;20;""
"151";151;894;"ES39";"ES39_Left_sd22.R.5.MP4";"RUV_data";"Chromis_fieldi";31833;31851;20;""
"152";152;895;"ES39";"ES39_Left_sd22.R.6.MP4";"RUV_data";"Chromis_fieldi";31856;31867;20;""
"153";153;896;"ES39";"ES39_Left_sd22.R.7.MP4";"RUV_data";"Chromis_fieldi";35672;35672;20;""
"154";154;897;"ES39";"ES39_Left_sd22.R.8.MP4";"RUV_data";"Chromis_fieldi";35677;35677;20;""
"155";155;898;"ES39";"ES39_Left_sd22.R.9.MP4";"RUV_data";"Chromis_fieldi";31896;31912;20;""
"156";156;909;"ES41";"ES41_Left_sd17.R.1.MP4";"RUV_data";"Pseudanthias_squamipinnis";32648;32653;20;""
"157";157;909;"ES41";"ES41_Left_sd17.R.1.MP4";"RUV_data";"Chromis";36040;36040;20;""
"158";158;910;"ES41";"ES41_Left_sd17.R.10.MP4";"RUV_data";"Chromis_fieldi";32753;32754;20;""
"159";159;910;"ES41";"ES41_Left_sd17.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";35638;35638;10;""
"160";160;911;"ES41";"ES41_Left_sd17.R.2.MP4";"RUV_data";"Chromis";35654;35654;10;""
"161";161;911;"ES41";"ES41_Left_sd17.R.2.MP4";"RUV_data";"Chromis_fieldi";32656;32656;20;""
"162";162;912;"ES41";"ES41_Left_sd17.R.3.MP4";"RUV_data";"Pseudanthias_squamipinnis";32676;32681;20;""
"163";163;912;"ES41";"ES41_Left_sd17.R.3.MP4";"RUV_data";"Chromis_fieldi";35664;35664;20;""
"164";164;913;"ES41";"ES41_Left_sd17.R.4.MP4";"RUV_data";"Chromis";35656;35656;10;""
"165";165;913;"ES41";"ES41_Left_sd17.R.4.MP4";"RUV_data";"Chromis_fieldi";35657;35657;20;""
"166";166;915;"ES41";"ES41_Left_sd17.R.6.MP4";"RUV_data";"Chromis";36041;36041;70;""
"167";167;915;"ES41";"ES41_Left_sd17.R.6.MP4";"RUV_data";"Pseudanthias_squamipinnis";32702;32705;30;""
"168";168;917;"ES41";"ES41_Left_sd17.R.8.MP4";"RUV_data";"Chromis";35663;35663;10;""
"169";169;917;"ES41";"ES41_Left_sd17.R.8.MP4";"RUV_data";"Chromis_fieldi";35662;35662;20;""
"170";170;918;"ES41";"ES41_Left_sd17.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";32750;32752;40;""
"171";171;918;"ES41";"ES41_Left_sd17.R.9.MP4";"RUV_data";"Chromis_fieldi";32749;32749;20;""
"172";172;940;"ES6";"ES6_Left_sd1.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";36006;36006;10;""
"173";173;941;"ES6";"ES6_Left_sd1.R.2.MP4";"RUV_data";"Pseudanthias_squamipinnis";34973;34973;20;""
"174";174;941;"ES6";"ES6_Left_sd1.R.2.MP4";"RUV_data";"Chromis_fieldi";34974;34974;10;""
"175";175;941;"ES6";"ES6_Left_sd1.R.2.MP4";"RUV_data";"Chromis";34975;34975;30;""
"176";176;942;"ES6";"ES6_Left_sd1.R.3.MP4";"RUV_data";"Pseudanthias_squamipinnis";30144;30149;20;""
"177";177;942;"ES6";"ES6_Left_sd1.R.3.MP4";"RUV_data";"Chromis_fieldi";30151;30157;10;""
"178";178;942;"ES6";"ES6_Left_sd1.R.3.MP4";"RUV_data";"Chromis";30044;30143;30;""
"179";179;943;"ES6";"ES6_Left_sd1.R.4.MP4";"RUV_data";"Pseudanthias_squamipinnis";36004;36004;20;""
"180";180;943;"ES6";"ES6_Left_sd1.R.4.MP4";"RUV_data";"Chromis_fieldi";30180;30188;10;""
"181";181;943;"ES6";"ES6_Left_sd1.R.4.MP4";"RUV_data";"Chromis";30161;30179;30;""
"182";182;944;"ES6";"ES6_Left_sd1.R.5.MP4";"RUV_data";"Pseudanthias_squamipinnis";30256;30258;20;""
"183";183;944;"ES6";"ES6_Left_sd1.R.5.MP4";"RUV_data";"Chromis_fieldi";30250;30254;10;""
"184";184;944;"ES6";"ES6_Left_sd1.R.5.MP4";"RUV_data";"Chromis";30192;30249;30;""
"185";185;945;"ES6";"ES6_Left_sd1.R.6.MP4";"RUV_data";"Pseudanthias_squamipinnis";30259;30267;20;""
"186";186;945;"ES6";"ES6_Left_sd1.R.6.MP4";"RUV_data";"Chromis_fieldi";36005;36005;10;""
"187";187;945;"ES6";"ES6_Left_sd1.R.6.MP4";"RUV_data";"Chromis";30269;30299;30;""
"188";188;950;"ES7";"ES7_Left_sd11.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";30010;30037;50;""
"189";189;952;"ES7";"ES7_Left_sd11.R.3.MP4";"RUV_data";"Acanthurus_thompsoni";34977;34977;10;""
"190";190;954;"ES7";"ES7_Left_sd11.R.5.MP4";"RUV_data";"Pseudanthias_squamipinnis";29842;29843;100;""
"191";191;954;"ES7";"ES7_Left_sd11.R.5.MP4";"RUV_data";"Chromis";36007;36007;30;""
"192";192;960;"ES8";"ES8_Left_sd9.R.10.MP4";"RUV_data";"Chromis_fieldi";30454;30456;10;""
"193";193;961;"ES8";"ES8_Left_sd9.R.2.MP4";"RUV_data";"Chromis_fieldi";36008;36008;10;""
"194";194;962;"ES8";"ES8_Left_sd9.R.3.MP4";"RUV_data";"Chromis_fieldi";36009;36009;10;""
"195";195;963;"ES8";"ES8_Left_sd9.R.4.MP4";"RUV_data";"Chromis_fieldi";36010;36010;10;""
"196";196;964;"ES8";"ES8_Left_sd9.R.5.MP4";"RUV_data";"Chromis_fieldi";36011;36011;10;""
"197";197;965;"ES8";"ES8_Left_sd9.R.6.MP4";"RUV_data";"Chromis_fieldi";36012;36012;10;""
"198";198;966;"ES8";"ES8_Left_sd9.R.7.MP4";"RUV_data";"Chromis_fieldi";36013;36013;10;""
"199";199;967;"ES8";"ES8_Left_sd9.R.8.MP4";"RUV_data";"Chromis_fieldi";36014;36014;10;""
"200";200;968;"ES8";"ES8_Left_sd9.R.9.MP4";"RUV_data";"Chromis_fieldi";36015;36015;10;""
"201";201;969;"ES9";"ES9_Left_sd3.R.1.MP4";"RUV_data";"Chromis_fieldi";36016;36016;10;""
"202";202;969;"ES9";"ES9_Left_sd3.R.1.MP4";"RUV_data";"Chromis";36017;36017;10;""
